gen	pai	mae
174	NA	NA
186	NA	NA
215	NA	NA
SEKO	NA	NA
554	NA	NA
1074	NA	NA
434	NA	NA
513	NA	NA
286	NA	NA
186x434	186	434
186x554	186	554
186x1074	186	1074
186x513	186	513
286x215	286	215
174x286	174	286
174x186	174	186
286x513	286	513
H117	174	186x434
H118	174	186x434
H120	174	186x434
H121	174	186x434
H123	174	186x554
H124	174	186x554
H125	174	186x554
H126	174	186x554
H127	174	186x1074
H128	174	186x1074
H129	174	186x1074
H130	174	186x513
H131	174	186x513
H132	174	286x513
H133	186	286x215
H134	186	174x286
H135	186	174x286
H136	186	174x286
H137	186	286x513
H138	215	174x186
H140	215	186x434
H143	215	186x1074
H144	215	186x1074
H149	SEKO	186x434
H150	SEKO	186x434
H152	SEKO	186x554
H157	554	174x186
H161	1074	186x434
H162	1074	286x215
H163	1074	286x215
H165	1074	174x286
H166	1074	186x554
H167	1074	186x554
H169	1074	186x513
